"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"2526","AJAYAB BANI","RAJHIN/2003/09899","21-05-2003","Hindi","Monthly","PREM PRAKASH CHHABRA","PREM PRAKASH CHHABRA","Rajasthan","Ganganagar"
"2527","AJAYMERU JOURNAL OF MEDICAL EDUCATION AND RESEARCH","RAJENG/2018/76743","28-01-2019","English","Quarterly","DR. RAJENDRA KUMAR GOKHROO","PRINCIPAL AND CONTROLLER, J L N MEDICAL COLLEGE","Rajasthan","Ajmer"
"2528","AJAYMERU TIMES","RAJHIN/2008/25702","24-09-2008","Hindi","Fortnightly","PANKAJ JAIN","PANKAJ JAIN","Rajasthan","Ajmer"
"2529","AJEY BHARAT","DELHIN/2000/02038","23-09-2000","Hindi","Weekly","UMESH JOSHI","UMESH JOSHI","Delhi","New Delhi"
"2530","AJEY NEWS","GUJGUJ/2017/73801","14-11-2017","Gujarati","Weekly","PANDYA DHAVAL KUMAR KALIDAS","PANDYA DHAVAL KUMAR KALIDAS","Gujarat","Gandhinagar"
"2531","AJEY SAMACHAR JAGAT","55910","18-09-1992","Hindi","Weekly","MANJU GOSWAMI","MANJU GOSWAMI","Uttar Pradesh","Meerut"
"2532","AJEYA","70994","29-06-1999","KANNADA","Daily","M. SRINIVASAN","M. SRINIVASAN","Karnataka","Shimoga"
"2533","AJEYA VARTA","UPHIN/2023/85822","30-01-2024","Hindi","Weekly","AJAY SINGH BHADAURIA","AJAY SINGH BHADAURIA","Uttar Pradesh","Fatehpur"
"2534","AJGAR DOOT","51639","07-10-1991","Hindi","Weekly","RAM SINGH TOMAR","RAM SINGH TOMAR","Uttar Pradesh","Ghaziabad"
"2535","AJGAR DOOT","55867","12-08-1992","Hindi","Weekly","RAM SINGH TOMAR","RAM SINGH TOMAR","Uttar Pradesh","Meerut"
"2536","AJGARDOOT","66066","06-05-1997","Hindi","Daily","RAM SINGH TOMAR","RAM SINGH TOMAR","Uttar Pradesh","Azamgarh"
"2537","AJIKALI","ORIORI/2005/14962","","Oriya","Daily","KISHORE DAS","KISHORE DAS","Odisha","Odisha"
"2538","AJIKALI","44026","06-06-1986","Oriya","Daily","KISHORE DAS","NIRMALYA MOHANTY","Odisha","Baleshwar"
"2539","AJINKY NAGRI","MAHMAR/2022/84628","29-05-2023","Marathi","Weekly","KUNAL DASHRATH GAIKWAD","KUNAL DASHRATH GAIKWAD","Maharashtra","Ahilyanagar"
"2540","AJINKYA BHARAT","GUJHIN/2019/77020","14-03-2019","Hindi","Weekly","KHAN SHAMPRAVEZ SAFIQUE AHAMAD KHAN","KHAN SHAMPRAVEZ SAFIQUE AHAMAD KHAN","Gujarat","Surat"
"2541","AJINKYA BHARAT","MAHMAR/2011/37021","02-05-2011","Marathi","Daily","TIKSHNAGAT SUGAT WAGHMARE","TIKSHNAGAT MEDIA PRIVATE LIMITED","Maharashtra","Buldhana"
"2542","AJINKYA BHARAT","MAHMAR/2009/35271","12-01-2011","Marathi","Daily","TIKSHNAGAT SUGAT WAGHMARE","TIKSHNAGAT MEDIA PRIVATE LIMITED","Maharashtra","Akola"
"2543","AJINKYA KESARI","MAHMAR/2023/87479","12-06-2024","MARATHI","Daily","SAMADHAN TUKARAM WANI","SAMADHAN TUKARAM WANI","Maharashtra","Chhatrapati Sambhaji Nagar"
"2544","AJINKYA PRABODHAN WARTA","MHMAR/25/A0714","30-05-2025","Marathi","Daily","Azad Balwant Avhad","Azad Balwant Avhad","Maharashtra","Nashik"
"2545","AJINKYA SAHYADRI","MAHMAR/2021/82601","28-10-2022","Marathi","Weekly","SAMRAT TUKARAM GAIKWAD","SAMRAT TUKARAM GAIKWAD","Maharashtra","Satara"
"2546","AJINKYA YODHA","MAHMAR/2020/79976","15-07-2021","Marathi","Daily","YASHWANT BHIKAJI HARNE","YESHWANT BHIKAJI HARNE","Maharashtra","Dhule"
"2547","Ajinkyawarta","MHMAR/25/A0538","28-05-2025","Marathi","Weekly","Himmat Bhimrao Dhole","Himmat Bhimrao Dhole","Maharashtra","Amravati"
"2548","AJINTHA EXPRESS","MAHMAR/2007/21089","10-09-2007","Marathi","Daily","DEELIP VINAYAKRAO SHINDE","SHINDE DILIP VINAYAKRAO","Maharashtra","Nanded"
"2549","Ajintha Lokpratibimb","MHMAR/26/A4727","05-06-2026","Marathi","Daily","Mangesh Ambadas Sananse","Mangesh Ambadas Sananse","Maharashtra","Chhatrapati Sambhaji Nagar"
"2550","AJIR DAINIK BATORI","ASSASS/2005/14968","","Assamese","Daily","DALIT KALITA","HKS PUBLICAIONS LTD.","Assam","Dibrugarh"
"2551","AJIRA AHWAN","ODIODI/2014/61586","27-04-2015","Oriya","Monthly","MANAS RANJAN JENA","MANAS RANJAN JENA","Odisha","Jajapur"
"2552","AJIRA ODISHA","ODIODI/2006/16661","29-05-2006","Oriya","Fortnightly","LIPIKA MISHRA","AJIRA ODISHA PRACHAR SAMITI","Odisha","Anugul"
"2553","AJIRA ODISHA DARBAR","ODIODI/2011/39025","29-09-2011","Oriya","Fortnightly","RABINDRA KUMAR MOHARANA","RABINDRA KUMAR MOHARANA","Odisha","Ganjam"
"2554","AJIRA SAVYATA","ODIODI/2010/31207","05-03-2010","Oriya","Monthly","SANJEEV SAHOO","SANJEEV SAHOO","Odisha","Khordha"
"2555","AJIRA TUFAN","ODIODI/2013/50566","01-07-2013","Oriya","Daily","TAPAN KUMAR PATI","TAPAN KUMAR PATI","Odisha","Mayurbhanj"
"2556","AJIT","CHAPUN/2015/59762","22-01-2015","Punjabi","Daily","Rajinder Singh","SADHU SINGH HAMDARD TRUST","Chandigarh","Chandigarh"
"2557","AJIT","PUNPUN/2017/70557","02-03-2017","Punjabi","Daily","Rajinder Singh","SADHU SINGH HAMDARD TRUST","Punjab","Bathinda"
"2558","AJIT","7107","22-03-1990","PUNJABI","Daily","Rajinder Singh","SADHU SINGH HAMDARD TRUST","Punjab","Jalandhar"
"2559","AJIT PARTH NEWS","UPHIN/2015/62575","12-06-2015","Hindi","Weekly","AJIT MANI TRIPATHI","AJIT MANI TRIPATHI","Uttar Pradesh","Basti"
"2560","AJIT SAMACHAR","PUNHIN/2017/71166","19-04-2017","Hindi","Daily","Rajinder Singh","SADHU SINGH HAMDARD TRUST","Punjab","Bathinda"
"2561","AJIT SAMACHAR","63293","26-02-1996","Hindi","Daily","RAJINDER SINGH","SADHU SINGH HAMDARD TRUST","Punjab","Jalandhar"
"2562","AJIT SAMACHAR","CHAHIN/2015/59797","27-01-2015","Hindi","Daily","RAJINDER SINGH","SADHU SINGH HAMDARD TRUST","Chandigarh","Chandigarh"
"2563","AJITANJAY SAMACHAR MITRA","RAJHIN/2011/41325","28-03-2012","Hindi","Fortnightly","BIRDY CHAND","BIRDY CHAND","Rajasthan","Ajmer"
"2564","AJIVAK NEWS","UPHIN/2023/85805","30-11-2023","Hindi","Monthly","ANIL KUMAR","ANIL KUMAR","Uttar Pradesh","Basti"
"2565","AJJ DI GALL","64903","01-01-1994","Punjabi","Fortnightly","DARSHAN LAL HIRA","DARSHAN LAL HIRA","Punjab","Firozpur"
"2566","AJJAKS TIMES","MPHIN/2009/30931","12-02-2010","Hindi","Weekly","DEVENDRA SURYAVANSHI","DEVENDRA SURYAVANSHI","Madhya Pradesh","Bhopal"
"2567","Ajjker bartalap","WBBEN/25/A5333","19-12-2025","Bengali","Weekly","PARTHA MUKHERJEE","PARTHA MUKHERJEE","West Bengal","Hooghly"
"2568","AJJKER NABANNA","WBBEN/26/A0460","16-01-2026","Bengali","Quarterly","NITIS CHANDRA ROY","NITIS CHANDRA ROY","West Bengal","Kolkata"
"2569","AJJTAK MHATMA JYOTIBA FHULE NEWS","GUJGUJ/2011/39456","05-11-2011","GUJARATI","Fortnightly","KHETAJI SONAJI  SOLANKI","KHETAJI SONAJI  SOLANKI","Gujarat","Banaskantha"
"2570","AJKAL","701","04-03-1957","Hindi","Monthly","Rajeev Kumar Jain","PUBLICATION DIVISION, MINISTRY OF I & B","Delhi","New Delhi"
"2571","AJKAL","948","04-03-1957","Urdu","Monthly","Rajeev Kumar Jain","PUBLICATION DIVISION, MINISTRY OF I & B","Delhi","New Delhi"
"2572","AJKER BANGLA","WBBEN/2000/02538","18-12-2000","Bengali","Monthly","NASIR UDDIN","NASIR UDDIN","West Bengal","Howrah"
"2573","AJKER DESHABARTI","53207","06-09-1994","Bengali","Weekly","KARTICK PAL","WEST STATE COMMITTEE.COMMUNIST PARTY OF INDIA","West Bengal","Kolkata"
"2574","AJKER DRISHTI KON","WBBEN/2023/85922","08-12-2023","Bengali","Fortnightly","KAUSIK CHATTARAJ","KAUSIK CHATTARAJ","West Bengal","Paschim Bardhaman"
"2575","AJKER FARIAD","23541/72","12-12-2005","BENGALI","Daily","SANIT DEBROY","PYRAMID PRINTERS & PUBLISHERS PVT. LTD.","Tripura","West Tripura"
"2576","AJKER GRAM BANGLA","WBBEN/2011/40812","01-08-2012","Bengali","Fortnightly","SAMARENDRA JANA","SAMARENDRA JANA","West Bengal","Purba Medinipur"
"2577","AJKER HOWRAH","WBBEN/2018/81666","12-07-2022","Bengali","Fortnightly","AMIT KUMAR GHOSH","AMIT KUMAR GHOSH","West Bengal","Howrah"
"2578","AJKER JODHAN","53025","18-09-1991","Bengali","Monthly","BASUDEV MONDAL","BASUDER MAONDAL","West Bengal","Purba Bardhaman"
"2579","AJKER NALISH","TRIBEN/2011/39297","14-10-2011","Bengali","Weekly","DEBASREE BHOWMIK","DEBASREE BHOWMIK","Tripura","West Tripura"
"2580","AJKER PURBABHAS","WBBIL/2018/76235","17-10-2018","English, Bengali","Quarterly","DHIMAN SARKAR","DHIMAN SARKAR","West Bengal","South 24 Parganas"
"2581","AJKER SAMPURNA","WBBEN/2015/62870","25-06-2015","Bengali","Fortnightly","DIPAK KUMAR GHOSH","APOLLO GLENEAGLES HOSPITAL EDUCATIONAL TRUST","West Bengal","North 24 Parganas"
"2582","AJKER TRIPURA","28424","06-02-1976","Bengali","Weekly","SUBHAS DAS","SUBHAS DAS","Tripura","West Tripura"
"2583","AJMER AAJKAL","RAJHIN/2006/18525","21-04-2010","HINDI","Fortnightly","AKLESH JAIN","AKLESH JAIN","Rajasthan","Ajmer"
"2584","AJMER ADALAT","56355","06-10-1993","Hindi","Daily","SHAIKHZADA ZULFIKAR CHISTI","SHAIKHZADA ZULFIKAR CHISTI","Rajasthan","Ajmer"
"2585","AJMER DOOT","46329","30-04-1986","Hindi","Weekly","Monika Jain","Monika Jain","Rajasthan","Ajmer"
"2586","AJMER JAGRAN","54657","16-07-1992","Hindi","Weekly","JITENDRA KUMAR NARSINGHANI","JITENDRA KUMAR NARSINGHANI","Rajasthan","Ajmer"
"2587","AJMER KA AAINA","RAJHIN/2017/72173","08-06-2017","Hindi","Weekly","OM PRAKASH NAJWANI","OM PRAKASH NAJWANI","Rajasthan","Ajmer"
"2588","AJMER KA PAKSHI","56306","06-07-1993","Hindi","Fortnightly","PANDIT SRIKRISHAN MISHRA","PANDIT SHRIKISHAN MISHRA","Rajasthan","Ajmer"
"2589","AJMER KI AWAZ","RAJHIN/2015/74070","04-12-2017","Hindi","Fortnightly","GAJENDRA SINGH","GAJENDRA SINGH","Rajasthan","Ajmer"
"2590","AJMER KI MASHAL","RAJHIN/2022/91053","16-07-2025","Hindi","Fortnightly","RASHIKA MAHARISHI","RASHIKA MAHARISHI","Rajasthan","Jaipur"
"2591","AJMER KI MASHAL","57832","20-11-2012","Hindi","Fortnightly","RASHIKA MAHARISHI","RASHIKA MAHARISHI","Rajasthan","Ajmer"
"2592","AJMER KIRAN","57915","23-07-1993","Hindi","Fortnightly","NA","NA","",""
"2593","AJMER METRO","RAJHIN/2013/55187","04-04-2014","Hindi","Fortnightly","RESHMA THAKUR","RESHMA THAKUR","Rajasthan","Ajmer"
"2594","AJMER MUSKAN","RAJHIN/2019/78214","29-11-2019","Hindi","Fortnightly","VIJAY KUMAR HANSRAJANI","VIJAY KUMAR HANSRAJANI","Rajasthan","Ajmer"
"2595","AJMER POLITICS","RAJHIN/2014/57887","22-10-2014","Hindi","Weekly","MOHAMMED IMRAN KHAN","MOHAMMED IMRAN KHAN","Rajasthan","Ajmer"
"2596","AJMER RAJ NEWS TIMES","RAJHIN/2023/90972","19-06-2025","HINDI","Fortnightly","SYED MOHAMMAD SALIM","SYED MOHAMMAD SALIM","Rajasthan","Ajmer"
"2597","AJMER SAMRAT","57789","24-02-1993","Hindi","Fortnightly","TARA CHAND PANCHAL","TARA CHAND PANCHAL","Rajasthan","Ajmer"
"2598","AJMER SANGAM","56244","12-12-2005","Hindi","Fortnightly","SARVAR SIDDIQUI","SARVAR SIDDIQUI","Rajasthan","Ajmer"
"2599","AJMER SHARIF","56287","18-06-1993","Hindi","Fortnightly","KISHORE SINGH","KISHORE SINGH","Rajasthan","Ajmer"
"2600","AJMER TODAY","48875","12-12-2005","Hindi","Fortnightly","ANURAG JAIN","ANURAG JAIN","Rajasthan","Ajmer"
"2601","AJMER VOICE","RAJHIN/2010/33263","11-08-2010","Hindi","Fortnightly","ANUPAM JAIN","ANUPAM JAIN","Rajasthan","Ajmer"
"2602","AJMERA TIMES","HARHIN/2017/75185","10-05-2018","Hindi","Weekly","PHOOL KUMAR","PHOOL KUMAR","Haryana","Hisar"
"2603","Ajmidh Nandadeep Sandesh","MHHIN/25/A2612","17-09-2025","Hindi","Monthly","Dileepkumar Lalchand Varma","Dileepkumar Lalchand Varma","Maharashtra","Chhatrapati Sambhaji Nagar"
"2604","AJNABI DUNIYA","UTTHIN/2006/18174","12-01-2007","Hindi","Weekly","VINOD KUMAR VERMA","VINOD KUMAR VERMA","Uttarakhand","Dehradun"
"2605","AJNALA NEWS","PBPUN/26/A3550","12-05-2026","Punjabi","Monthly","LAKHAN PAL","LAKHAN PAL","Punjab","Amritsar"
"2606","AJNAR KI HALCHAL","MPHIN/2023/87732","03-07-2024","HINDI","Monthly","AMEEN KHA","AMEEN KHA","Madhya Pradesh","Rajgarh"
"2607","AJNAR KI PUKAR","MPHIN/2023/87731","03-07-2024","HINDI","Weekly","AMEEN KHA","AMEEN KHA","Madhya Pradesh","Rajgarh"
"2608","AJNU SURAT","GUJGUJ/2008/28214","06-07-2009","Gujarati","Weekly","BHAVESHBHAI B. VAGHAMASHI","BHAVESH B. VAGHAMASHI","Gujarat","Surat"
"2609","Ajod Awaaz","GJGUJ/25/A4034","19-11-2025","Gujarati","Weekly","VAGHELA KAMLESHSINGH GODDSINGH","VAGHELA KAMLESHSINGH GODDSINGH","Gujarat","Banaskantha"
"2610","AJOOBA TIMES","DELHIN2001/04756","15-02-2001","Hindi","Fortnightly","AVINASH PURI","AVINASH PURI","Delhi","New Delhi"
"2611","AJOOBI DUNIYA","MPHIN/2009/28939","22-09-2009","Hindi","Weekly","LALTESH KUMAR","LALTESH KUMAR","Madhya Pradesh","Bhopal"
"2612","AJOY ASHOK","38741","02-02-1980","Hindi","Weekly","NA","NA","",""
"2613","AJRA NEWS","UPHIN/2010/36633","05-04-2011","Hindi","Weekly","MOHD. ZARREYAB KHAN","MOHD. ZARREYAB KHAN","Uttar Pradesh","Fatehpur"
"2614","AK BINDHAST PRAHAR","MAHBIL/2024/89681","17-10-2024","BILINGUAL","Weekly","JYOTI MANOJ PATIL","JYOTI MANOJ PATIL","Maharashtra","Nagpur"
"2615","AKAAL NEWS","UPHIN/2014/56536","13-08-2014","Hindi","Weekly","TARSEM SINGH","TARSEM SINGH","Uttar Pradesh","Lakhimpur Kheri"
"2616","AKACH LAKSHYA","MAHMAR/2012/46653","01-01-2013","Marathi","Weekly","ATISH PRAKASH BIDKAR","ATISH PRAKASH BIDKAR","Maharashtra","Buldhana"
"2617","AKAL PURUSH","GUJGUJ/2020/84297","16-05-2023","Gujarati","Monthly","RAJENDRABHAI KHIMANI","SUSHIL TRUST, NILPAR","Gujarat","Kutch"
"2618","AKALI PATRIKA","23","04-03-1957","Punjabi","Daily","BIR PAL SINGH","THE SIKH NEWSPAPERER LTD.","Punjab","Jalandhar"
"2619","AKALVIR","GUJGUJ/2018/77795","29-07-2019","Gujarati","Weekly","SANDSUR TAKHUBHAI ALABHAI","SANDSUR TAKHUBHAI ALABHAI","Gujarat","Bhavnagar"
"2620","AKANDA NUEES","APTEL/25/A2580","16-09-2025","Telugu","Monthly","Saguturu Venkata Ramana Ravi Babu","Saguturu Venkata Ramana Ravi Babu","Andhra Pradesh","Guntur"
"2621","AKANKSHA EXPRESS","UPHIN/2017/71979","01-06-2017","Hindi","Daily","ANIS AHMAD SIDDIQUI","ANIS AHMAD SIDDIQUI","Uttar Pradesh","Lucknow"
"2622","AKANKSHA POST","PUNBIL/2012/46234","09-11-2012","English, HINDI","Annual","RAJIV NARANG","RAJIV NARANG","Punjab","Fazilka"
"2623","AKANKSHI KENDUJHARI","ORORI/25/A1003","04-06-2025","Oriya","Monthly","PRAMOD KUMAR MAHAKUD","PRAMOD KUMAR MAHAKUD","Odisha","Kendujhar"
"2624","AKANSHA NAVI DISHA ANI AAVHANE","MAHMUL/2015/74000","01-12-2017","English, Marathi, Hindi","Monthly","MAYUR BANDU LAHANE","MAYUR BANDU LAHANE","Maharashtra","Akola"
"2625","AKANTO APAN PARIWAR","WBBEN/2009/30036","15-12-2009","Bengali","Monthly","SANKAR CHAKRABORTY","SANKAR CHAKRABORTY","West Bengal","Maldah"
"2626","AKANTO APPAN","WBBEN/2003/15265","11-10-2011","Bengali","Weekly","SANKAR CHAKRABORTY","SANKAR CHAKRABORTY","West Bengal","Maldah"
"2627","AKARSHAN","42034","02-06-1982","Bengali","Monthly","DIPENDU SEKHAR GHOSH","ARATI GHOSH","West Bengal","West Bengal"
"2628","Akas Times","MHHIN/25/A4593","02-12-2025","Hindi","Monthly","Ram Prakash Sharda Prasad Tiwari","Ram Prakash Sharda Prasad Tiwari","Maharashtra","Mumbai Suburban"
"2629","AKASH  KE  SANSKAR","MPHIN/2021/83781","17-04-2023","Hindi","Monthly","AKASH MEHAR","AKASH MEHAR","Madhya Pradesh","Bhopal"
"2630","AKASH BHARATI","UPHIN/2015/65381","30-12-2015","Hindi","Weekly","SANJAY KUMAR DIXIT","SANJAY KUMAR DIXIT","Uttar Pradesh","Kanpur Dehat"
"2631","AKASH BHUMI","UPHIN/2015/64818","20-11-2015","Hindi","Weekly","SURESH KUMAR MISHRA","SURESH KUMAR MISHRA","Uttar Pradesh","Hardoi"
"2632","AKASH DEEP","23730","24-11-1973","Hindi","Weekly","LALCHAND BHARTIYA","LALCHAND BHARTIYA","Rajasthan","Jaipur"
"2633","AKASH DHARA","MPHIN/2021/83922","21-04-2023","Hindi","Monthly","AKASH AHIRWAR","AKASH AHIRWAR","Madhya Pradesh","Bhopal"
"2634","AKASH GANGA JYOTI","58609","29-12-1994","Hindi","Weekly","SYED MOHAMMAD ASIF","SYED MOHAMMAD ASIF","Uttar Pradesh","Ayodhya"
"2635","AKASH GANGA TIMES","HPHIN/2011/37699","06-06-2011","Hindi","Monthly","SUNIL KUMAR","SUNIL KUMAR","Himachal Pradesh","Sirmaur"
"2636","AKASH GAURAV","55898","09-09-1992","HINDI","Weekly","GAURAV GOEL","GAURAV GOEL","Uttar Pradesh","Bulandshahr"
"2637","AKASH GYAN VATIKA","UTTBIL/2010/37771","09-06-2011","English, HINDI","Quarterly","NIRMALA JOSHI","NIRMALA JOSHI","Uttarakhand","Dehradun"
"2638","AKASH HEADLINES","KARKAN/2023/85205","19-07-2023","Kannada","Daily","BHARADWAJA. M.N","BHARADWAJA.M.N","Karnataka","Kolar"
"2639","AKASH JYOTI","TNHIN/2007/22714","30-01-2008","Hindi","Daily","VUPPALA SUJATHA","VUPPALA SUJATHA","Tamil Nadu","Chennai"
"2640","AKASH JYOTI","TELHIN/2000/04452","26-07-2001","Hindi","Daily","VUPPALA SUJATHA","VUPPALA SUJATHA","Telangana","Hyderabad"
"2641","AKASH KA PANCHI","MPHIN/2004/14171","21-03-2005","Hindi","Monthly","PRIYANKA SAHU","PRIYANKA SAHU","Madhya Pradesh","Bhopal"
"2642","AKASH KA TARA","MPHIN/2011/41837","30-04-2012","Hindi","Monthly","AVNISH TIWARI","AVNISH TIWARI","Madhya Pradesh","Bhopal"
"2643","AKASH MARG","40285","01-10-2013","Hindi","Daily","RAKESH PANDEY","RAKESH PANDEY","Uttar Pradesh","Deoria"
"2644","AKASH MITRA","UPHIN/2021/83474","02-03-2023","Hindi","Daily","RAM SUKH","RAM SUKH","Uttar Pradesh","Basti"
"2645","akashara koumudhi","APTEL/25/A5343","30-12-2025","Telugu","Monthly","YEMPADA APPARAO","YEMPADA APPARAO","Andhra Pradesh","Vizianagaram"
"2646","AKASHARMALA","MAHMAR/2017/72936","08-08-2017","Marathi","Weekly","VINOD BALKRUSHAN MUNDE","VINOD BALKRUSHAN MUNDE","Maharashtra","Amravati"
"2647","AKASHAYA DEEP","UPHIN/2018/75019","08-03-2018","Hindi","Weekly","ABHISHEK SHARMA","ABHISHEK SHARMA","Uttar Pradesh","Shahjahanpur"
"2648","AKASHAYA DEEP","UTTHIN/2001/05572","20-10-2001","Hindi","Daily","ABHISHEK SHARMA","ABHISHEK SHARMA","Uttarakhand","Haridwar"
"2649","AKASHAYA DEEP","UTTHIN/2001/05573","13-11-2001","Hindi","Daily","ABHISHEK SHARMA","ABHISHEK SHARMA","Uttarakhand","Dehradun"
"2650","AKASHAYA DEEP","HARHIN/2001/05101","15-10-2001","Hindi","Daily","ABHISHEK SHARMA","ABHISHEK SHARMA","Haryana","Kurukshetra"
"2651","AKASHGANGA","MAHMAR/2000/02324","04-11-2000","Marathi","Weekly","ALNASIR ABDULLA KAZI","ALNASIR ABDULLA KAZI","Maharashtra","Kolhapur"
"2652","AKASHHIND","DELHIN/2012/45602","08-10-2012","Hindi","Weekly","LAL BABU GIRI","LAL BABU GIRI","Delhi","New Delhi"
"2653","AKASHI","13830","01-01-1959","Assamese","Fortnightly","G.C. CHAKRAVARTY","A.I.R. KOLKATA","West Bengal","Kolkata"
"2654","AKASHRA MALIKA","APTEL/25/A2488","11-09-2025","Telugu","Daily","ADIANDHRA GANESH","ADIANDHRA GANESH","Andhra Pradesh","Sri Sathya Sai"
"2655","AKATH","16096","12-12-1967","Hindi","Monthly","RACHNA MANI","MANI MADHUKAR","Rajasthan","Jaipur"
"2656","AKBAR TIMES","MPHIN/2006/19096","25-10-2013","Hindi","Weekly","IRAM HASAN","IRAM HASAN","Madhya Pradesh","Bhopal"
"2657","AKBAR TIMES","MPHIN/2012/45006","25-10-2013","Hindi","Weekly","SMT. IRAM HASAN","SMTI. IRAM HASAN","Madhya Pradesh","Betul"
"2658","AKBAR TIMES","CHHHIN/2011/43859","31-10-2013","Hindi","Weekly","IRAM HASAN","SMTI. IRAM HASAN","Chhattisgarh","Raipur"
"2659","AKBARI","UPBIL/2009/29665","20-11-2009","Hindi, Urdu","Weekly","B.R. GUPTA","INDIA LEGAL PUBLISHERS PVT. LTD.","Uttar Pradesh","Gautam Buddha Nagar"
"2660","AKBARPUR DARPAN","UPHIN/2020/79722","31-03-2021","Hindi","Weekly","RAJNISH VERMA","RAJNISH VERMA","Uttar Pradesh","Ambedkar Nagar"
"2661","AKBARPUR EXPRESS","68006","26-03-1998","Hindi","Weekly","ABHISHEK TIWARI","ABHISHEK TIWARI","Uttar Pradesh","Ambedkar Nagar"
"2662","AKBARPUR EXPRESS","UPURD/2010/30762","12-02-2010","Urdu","Daily","ABHISHEK TIWARI","ABHISHEK TIWARI","Uttar Pradesh","Ambedkar Nagar"
